id_venda,carro_id,cliente_id,vendedor_id,data_venda,valor_venda
192,685,707,29,2023-09-24,74922
193,711,227,27,2022-01-18,65079
194,976,439,24,2025-05-15,83399
195,936,776,6,2021-11-20,145859
196,868,150,2,2025-05-07,93257
197,192,446,2,2023-06-05,98182
198,261,742,12,2025-01-26,146454
199,965,512,13,2022-05-27,64132
200,540,262,11,2025-02-13,82704
201,816,553,12,2024-04-28,121103
202,198,248,14,2024-11-05,82635
203,592,566,29,2024-04-03,40318
204,62,279,18,2025-08-10,54654
205,267,467,28,2022-10-08,82977
206,73,309,9,2022-03-04,143840
207,731,142,24,2024-02-10,126451
208,340,212,18,2021-02-19,50493
209,179,899,3,2023-06-03,57955
210,826,969,3,2024-05-09,87622
211,339,986,16,2022-05-24,113103
212,298,36,18,2022-06-03,105160
213,571,243,30,2024-03-29,86153
214,2,85,25,2022-10-29,122996
215,51,960,3,2022-11-27,61809
216,738,50,23,2020-11-16,137819
217,769,372,10,2023-09-05,49621
218,434,156,13,2020-10-26,133440
219,405,750,17,2020-12-29,50182
220,199,589,27,2024-01-06,57475
221,930,342,26,2023-03-26,44444
222,512,395,11,2024-10-27,57151
223,922,901,17,2022-07-27,68197
224,971,726,17,2022-10-17,141339
225,85,659,9,2022-10-04,149038
226,280,655,17,2022-03-07,98293
227,432,789,13,2023-11-09,145312
228,667,743,13,2021-06-22,79806
229,791,922,17,2024-02-14,108396
230,93,546,29,2020-10-15,102955
231,376,854,2,2023-11-27,82355
232,9,264,21,2022-11-09,54879
233,589,741,12,2023-03-31,44180
234,341,222,10,2023-03-30,135412
235,57,729,5,2024-01-14,63368
236,979,444,28,2022-10-12,67828
237,973,252,15,2022-01-18,141600
238,55,44,27,2025-05-02,50531
239,104,901,6,2021-02-14,78801
240,784,451,16,2021-02-24,76086
241,94,375,11,2024-03-28,42296
242,217,466,7,2020-11-07,135147
243,583,974,7,2023-01-16,94990
244,223,935,30,2025-01-16,97747
245,231,475,14,2022-12-21,112341
246,413,732,3,2021-09-05,63884
247,672,694,1,2024-07-10,94814
248,511,486,6,2022-12-17,123627
249,960,468,13,2020-09-18,123424
250,450,801,21,2024-03-07,137619
251,337,722,20,2022-04-23,98911
252,500,403,5,2022-10-25,130098
253,206,630,24,2023-09-05,81109
254,417,218,11,2024-01-10,135905
255,442,925,29,2022-01-25,49168
256,425,998,8,2022-11-01,49153
257,317,18,27,2020-10-01,43592
258,363,590,8,2022-12-21,74290
259,869,400,7,2024-07-19,59648
260,956,532,10,2021-03-12,67600
261,999,347,22,2024-08-30,54885
262,605,497,25,2024-06-16,138112
263,846,426,30,2023-10-18,113501
264,7,849,18,2021-10-12,70148
265,436,230,23,2023-03-13,73071
266,486,241,12,2021-02-03,62835
267,459,445,7,2025-08-14,125003
268,393,638,15,2024-07-24,145422
269,297,172,23,2020-08-18,107619
270,570,913,26,2022-12-22,43629
271,666,874,7,2024-03-27,89658
272,464,285,12,2024-01-29,45909
273,53,630,3,2024-05-21,139975
274,637,462,22,2023-05-20,139622
275,782,709,2,2021-03-28,95918
276,803,32,26,2020-12-19,56761
277,342,633,30,2022-02-28,131768
278,167,917,24,2025-01-20,90611
279,216,362,30,2020-09-18,76448
280,647,884,18,2020-10-20,66343
281,456,325,25,2022-12-19,64486
282,574,475,18,2021-08-03,113466
283,472,283,21,2024-09-29,79093
284,546,445,15,2023-02-15,126888
285,443,707,14,2022-11-02,51166
286,756,802,20,2025-04-10,72588
287,60,568,11,2025-01-27,58929
288,860,891,22,2023-08-12,130665
289,689,205,16,2023-06-07,102393
290,808,829,18,2024-03-28,137278
291,708,259,2,2022-08-29,62550
292,59,28,25,2021-05-13,68215
293,207,541,11,2020-10-16,58162
294,943,684,10,2021-12-03,124914
295,505,978,7,2022-08-07,113566
296,367,848,22,2024-12-19,126044
297,765,292,14,2024-07-17,107634
298,733,808,2,2024-07-29,105872
299,200,235,12,2021-01-07,135923
300,871,367,11,2025-01-18,122359
301,468,29,6,2025-07-14,50750
302,245,709,15,2023-06-09,125515
303,424,289,6,2022-05-14,46189
304,141,210,19,2021-02-03,142812
305,536,322,30,2023-10-30,121808
306,747,299,6,2021-07-07,56011
307,119,684,22,2022-12-03,129053
308,519,373,11,2025-01-29,128869
309,661,800,8,2023-06-07,94456
310,440,315,14,2024-07-27,83914
311,606,100,13,2021-09-02,45311
312,275,618,17,2025-04-13,130244
313,890,554,11,2021-01-13,53900
314,862,250,6,2023-09-01,138001
315,144,788,3,2020-12-12,110600
316,880,891,23,2023-11-01,122128
317,688,944,9,2020-12-02,117419
318,562,30,3,2023-10-10,125650
319,657,282,26,2025-01-24,74199
320,195,235,4,2022-07-21,93279
321,656,37,17,2022-10-12,77227
322,247,11,16,2024-08-02,112241
323,110,1000,6,2024-10-23,88971
324,495,954,23,2020-10-20,51579
325,454,603,28,2020-09-11,40557
326,490,216,3,2023-07-23,60447
327,902,899,12,2023-01-10,80561
328,124,647,4,2023-06-26,48094
329,389,310,28,2024-10-13,66725
330,804,805,26,2022-12-12,49446
331,84,956,3,2021-09-17,64674
332,635,589,2,2024-07-26,99197
333,632,56,7,2024-11-25,119639
334,830,459,5,2022-09-15,84836
335,794,925,27,2024-09-27,64051
336,28,640,14,2024-02-27,132717
337,314,484,30,2022-02-04,67153
338,736,218,12,2022-10-05,110001
339,777,959,13,2024-04-11,44083
340,739,983,23,2020-12-01,148040
341,137,623,4,2023-02-04,109584
342,545,228,25,2025-03-31,53713
343,821,164,26,2024-05-08,142773
344,105,921,24,2021-09-28,117650
345,910,410,18,2021-11-17,69692
346,315,99,17,2021-09-14,81722
347,334,72,22,2020-10-13,86719
348,128,754,18,2021-05-03,144203
349,74,908,25,2024-07-18,100361
350,246,324,25,2025-05-28,110278
351,398,672,10,2022-05-18,78045
352,959,381,9,2025-04-16,88345
353,980,814,25,2024-06-17,46297
354,301,584,24,2021-10-30,144185
355,727,998,13,2025-05-27,131857
356,646,939,14,2021-03-26,116944
357,305,764,13,2025-02-02,99541
358,793,120,10,2023-09-29,53168
359,392,172,3,2021-10-06,63624
360,989,9,23,2021-05-05,122188
361,812,833,2,2021-11-18,109985
362,844,575,25,2024-11-22,124249
363,560,655,20,2022-10-24,42013
364,940,444,12,2020-08-20,65230
365,558,44,25,2025-01-14,72754
366,832,595,2,2025-05-17,125056
367,407,863,24,2023-06-24,135377
368,611,521,6,2021-01-12,137351
369,904,348,26,2021-09-07,76724
370,774,404,11,2020-11-25,40961
371,600,950,29,2024-12-07,100878
372,742,202,3,2022-09-07,83510
373,244,678,3,2024-03-30,55443
374,523,143,28,2021-07-28,65878
375,504,801,2,2025-01-07,100534
376,779,238,13,2020-10-28,41456
377,554,712,7,2022-04-22,78721
378,182,348,10,2020-11-21,88986
379,665,811,12,2024-05-20,78629
380,229,832,19,2023-01-06,55152
381,885,747,19,2021-12-29,45501
382,63,633,30,2024-07-15,119139
383,134,946,22,2022-08-04,105110
384,368,621,1,2021-07-18,141532
385,416,411,17,2024-05-10,78020
386,755,269,21,2025-03-14,129254
387,848,14,4,2021-11-20,140429
388,786,886,6,2024-09-25,52755
389,294,840,28,2025-03-08,51774
390,920,420,29,2022-12-13,66103
391,951,717,13,2025-01-03,121776
392,781,173,15,2020-09-30,88276
393,489,220,13,2024-05-02,83945
394,997,512,1,2021-12-15,104237
395,357,445,12,2023-08-07,57148
396,166,851,10,2021-04-17,148660
397,517,861,25,2021-07-24,46215
398,507,288,3,2022-11-20,133356
399,674,337,16,2023-03-26,108092
400,541,468,3,2024-03-28,42649
401,236,118,6,2021-11-08,110038
402,111,226,2,2020-12-03,79757
403,987,793,5,2024-02-19,124591
404,444,369,3,2022-07-19,111545
405,800,676,5,2021-08-31,134975
406,579,30,26,2024-08-31,87406
407,135,184,21,2023-07-29,54556
408,276,156,18,2022-08-16,112432
409,47,141,28,2024-09-17,92488
410,5,427,2,2023-04-09,72909
411,559,584,26,2021-06-21,85681
412,806,42,15,2022-10-16,46711
413,272,47,24,2025-01-15,107291
414,366,851,16,2024-06-28,73412
415,345,524,15,2021-07-28,66021
416,149,65,25,2020-11-22,61383
417,575,733,16,2022-06-11,61234
418,751,59,2,2023-02-27,42924
419,82,974,1,2022-03-16,47116
420,259,785,25,2024-01-22,45781
421,108,745,19,2024-10-10,90234
422,69,845,18,2025-04-08,51473
423,183,992,21,2023-02-21,105472
424,856,284,7,2020-12-30,132827
425,23,449,8,2022-10-18,118947
426,473,939,28,2022-05-26,79821
427,809,245,6,2022-12-14,76068
428,668,377,28,2025-05-04,131640
429,212,501,14,2023-12-11,108708
430,86,673,25,2024-02-02,87152
431,117,135,29,2025-06-28,105137
432,253,759,19,2023-04-01,123784
433,89,332,18,2025-03-03,96289
434,955,796,30,2025-03-20,76006
435,225,668,6,2020-08-29,64955
436,283,398,16,2021-07-13,134825
437,65,1000,21,2023-02-27,66275
438,70,211,15,2022-07-22,95034
439,319,146,17,2021-08-12,92481
440,353,749,23,2023-06-30,114454
441,414,106,16,2024-04-02,109363
442,390,329,19,2024-01-23,139026
443,170,356,14,2020-09-25,43758
444,515,105,8,2025-03-11,99056
445,429,119,30,2023-12-30,133448
446,879,525,12,2024-11-11,115467
447,282,724,3,2020-11-23,127772
448,995,399,21,2025-05-22,74919
449,129,534,16,2021-11-12,73405
450,660,243,12,2024-04-10,144956
451,964,357,30,2024-12-18,95879
452,324,989,10,2022-09-18,146651
453,825,971,1,2024-06-13,119597
454,620,623,30,2024-07-23,86964
455,701,365,19,2023-10-26,74600
456,712,396,14,2023-11-01,117893
457,752,1000,8,2024-04-10,115832
458,694,62,5,2022-09-22,63287
459,634,528,7,2024-10-28,100280
460,343,893,20,2023-01-19,106553
461,895,963,20,2020-08-15,74274
462,258,398,25,2023-01-01,113124
463,161,545,13,2024-05-23,93539
464,863,366,4,2024-06-02,103927
465,713,502,7,2023-11-22,57767
466,823,948,1,2023-10-17,90657
467,361,419,24,2025-06-03,114852
468,631,310,18,2022-07-19,145960
469,204,939,18,2022-05-08,117033
470,303,764,28,2023-10-25,146045
471,728,688,17,2024-05-05,87497
472,991,197,7,2022-12-26,59519
473,502,396,27,2025-04-25,144893
474,156,618,6,2025-01-23,65896
475,810,437,7,2024-03-09,40133
476,770,150,16,2021-12-17,79226
477,262,327,19,2022-06-08,86995
478,379,185,6,2020-12-23,100097
479,759,447,20,2023-10-09,130039
480,958,290,8,2024-02-25,142770
481,222,642,13,2022-06-20,82474
482,288,449,30,2024-02-10,50368
483,402,977,13,2022-08-09,142007
484,360,872,22,2023-10-11,111164
485,233,203,24,2021-03-08,108366
486,21,834,10,2020-08-17,141351
487,703,904,18,2025-05-22,111868
488,403,695,19,2024-07-16,133676
489,841,949,29,2024-07-29,149624
490,617,860,22,2020-11-05,63785
491,839,35,23,2023-10-17,101364
492,638,786,30,2025-07-23,83166
493,565,951,27,2025-05-21,76785
494,18,311,18,2024-11-05,70610
495,453,278,9,2024-06-06,68962
496,348,17,19,2022-12-23,63752
497,861,880,18,2024-01-14,41747
498,852,39,26,2024-09-23,44034
499,168,641,5,2023-05-28,136794
500,775,306,10,2023-09-16,62398
501,644,99,8,2023-12-01,51673
502,629,599,27,2022-10-09,124323
503,186,519,26,2022-04-01,59722
504,687,109,22,2023-01-08,121520
505,748,123,21,2023-06-01,149293
506,953,690,7,2025-06-07,92968
507,477,456,8,2022-07-08,137271
508,531,387,11,2023-02-03,98767
509,643,603,28,2023-02-13,73443
510,469,334,3,2023-08-25,100964
511,938,162,11,2021-02-09,45770
512,659,786,24,2020-11-19,84139
513,610,703,16,2025-07-20,40654
514,46,230,14,2023-11-30,104849
515,277,149,17,2025-06-29,109947
516,766,502,12,2025-06-02,143394
517,753,267,8,2023-08-23,79534
518,947,101,25,2020-11-29,115739
519,349,107,17,2020-09-24,67479
520,289,249,7,2020-10-18,114636
521,627,516,14,2020-09-05,62161
522,485,455,10,2022-06-13,42798
523,16,455,22,2021-02-28,85603
524,88,284,5,2024-05-11,143677
525,107,272,12,2024-02-17,107765
526,158,155,17,2023-09-06,72055
527,516,494,28,2025-05-09,134478
528,307,655,25,2022-12-05,85528
529,33,34,14,2022-12-22,120797
530,196,681,13,2020-11-12,117627
531,445,547,12,2022-05-27,110284
532,998,794,4,2024-04-24,94224
533,394,385,12,2020-12-11,141366
534,52,999,2,2024-02-25,73185
535,975,22,18,2021-03-08,140613
536,654,601,27,2024-12-16,146689
537,483,862,10,2025-08-09,87989
538,581,496,1,2022-12-28,76693
539,740,210,26,2021-05-10,90951
540,269,538,16,2024-03-24,81451
541,595,724,20,2024-07-23,42515
542,735,898,29,2022-10-29,134074
543,801,395,30,2024-11-15,91534
544,422,178,1,2023-08-20,61238
545,399,354,21,2025-08-10,97861
546,992,159,23,2020-08-15,78485
547,37,361,20,2021-07-21,104996
548,8,488,29,2022-12-05,103751
549,996,466,4,2021-08-25,56595
550,911,17,23,2025-07-15,52755
551,27,405,3,2020-08-29,105974
552,322,211,7,2025-04-24,97271
553,83,716,7,2021-05-29,49833
554,741,510,12,2022-06-12,132782
555,679,345,18,2021-01-04,83079
556,356,847,20,2021-04-11,67762
557,352,44,5,2021-11-15,83340
558,817,97,8,2025-04-29,42069
559,418,871,1,2023-09-21,88866
560,208,282,22,2022-05-28,76974
561,171,859,19,2022-02-22,109320
562,311,520,23,2024-08-29,127972
563,506,401,4,2020-12-11,110394
564,431,669,28,2022-05-29,79389
565,876,993,7,2020-10-04,114794
566,1000,336,2,2023-11-13,142672
567,252,833,3,2022-12-05,69389
568,918,447,8,2025-02-27,87172
569,465,337,8,2020-08-20,107532
570,194,492,7,2023-09-16,78448
571,369,961,1,2023-11-27,70766
572,255,163,18,2024-05-17,83511
573,734,643,23,2023-03-22,68657
574,241,360,15,2023-09-11,147395
575,645,121,15,2023-10-07,47893
576,586,711,4,2021-09-06,121392
577,121,506,16,2025-07-18,42803
578,754,845,20,2024-06-30,107833
579,26,778,28,2024-05-07,114564
580,91,217,6,2023-01-25,137549
581,49,200,2,2022-02-15,76167
582,284,741,17,2022-10-20,69742
583,406,400,29,2023-10-29,71979
584,338,740,24,2024-02-11,87834
585,615,295,25,2024-08-30,92814
586,286,948,9,2022-07-14,67021
587,43,64,18,2024-04-26,111521
588,710,307,1,2022-03-24,147422
589,547,782,24,2022-03-09,102345
590,484,1000,30,2023-06-27,149011
591,690,10,2,2024-07-30,101025
592,310,797,8,2023-08-29,145329
593,152,615,22,2025-06-22,122824
594,423,962,9,2025-04-20,146641
595,19,179,10,2022-07-20,71223
596,362,964,3,2022-04-13,146394
597,967,26,27,2021-09-10,49422
598,535,560,26,2023-01-13,49911
599,181,2,28,2024-07-26,65638
600,618,285,13,2021-09-25,92645
601,719,789,12,2022-11-06,137566
602,889,738,22,2024-08-21,117371
603,146,752,8,2024-05-09,121248
604,397,724,20,2024-12-05,97215
605,526,749,8,2021-05-17,41134
606,285,932,8,2023-11-20,80242
607,538,119,22,2021-03-18,51222
608,796,197,5,2021-12-29,122056
609,698,374,19,2024-07-18,120817
610,603,152,24,2025-03-28,126959
611,29,781,10,2024-01-24,46753
612,949,753,20,2025-02-28,87263
613,988,584,30,2025-03-29,53985
614,785,13,9,2023-12-03,85585
615,621,773,18,2022-02-16,133386
616,664,84,29,2021-06-05,55283
617,705,963,3,2025-05-27,67671
618,994,751,3,2020-12-08,56661
619,205,906,12,2021-07-06,117610
620,193,525,26,2025-03-07,83131
621,215,660,21,2024-04-03,47251
622,228,923,4,2021-07-03,147308
623,858,571,19,2024-02-15,77482
624,612,35,16,2024-04-21,68190
625,622,74,24,2023-05-27,131683
626,601,273,20,2024-07-29,85291
627,293,646,11,2024-05-22,110666
628,917,354,12,2025-04-08,93409
629,563,124,21,2024-07-20,126321
630,213,208,23,2024-12-21,119499
631,542,6,8,2025-05-05,136383
632,66,351,2,2023-03-25,121036
633,14,629,7,2021-06-29,115959
634,102,504,7,2023-12-26,110780
635,684,137,1,2022-07-11,98377
636,381,674,1,2020-12-16,113998
637,10,681,19,2023-06-03,125754
638,461,119,4,2025-08-12,127456
639,883,598,13,2023-12-07,67446
640,840,785,21,2023-09-06,83427
641,521,67,25,2020-09-10,81370
642,499,152,3,2024-03-23,67600
643,240,2,14,2024-11-09,91000
644,270,845,21,2024-07-04,100376
645,67,55,11,2021-07-11,57129
646,201,127,26,2025-01-04,130558
647,669,973,20,2021-12-15,60535
648,173,511,13,2024-10-11,66336
649,421,666,4,2020-09-27,144934
650,623,876,9,2021-01-20,79606
651,239,61,29,2024-12-27,58442
652,250,64,13,2022-05-06,85787
653,919,613,9,2024-11-12,65525
654,843,123,18,2025-07-28,85701
655,594,834,28,2021-07-29,141701
656,492,587,27,2024-01-20,131368
657,630,713,30,2024-10-06,119824
658,596,866,7,2021-09-04,102656
659,296,965,24,2021-04-26,71030
660,320,457,18,2021-08-15,54137
661,15,488,12,2022-05-23,78060
662,913,776,2,2022-04-24,86312
663,923,542,18,2024-04-23,59108
664,982,893,27,2023-09-02,44972
665,377,739,7,2024-03-12,56196
666,550,464,8,2020-10-21,88403
667,122,199,9,2023-04-17,70341
668,898,639,1,2022-12-13,142407
669,691,36,19,2024-08-19,147797
670,226,133,14,2021-11-10,41319
671,887,550,28,2022-07-02,87283
672,326,119,8,2020-10-27,52139
673,99,165,6,2021-02-17,57411
674,771,533,28,2024-02-11,124014
675,851,583,26,2024-09-25,72564
676,291,963,21,2025-06-10,133746
677,899,776,10,2022-09-29,116774
678,268,115,24,2022-08-15,48516
679,178,869,17,2025-01-19,80111
680,118,132,12,2021-12-15,71859
681,802,312,23,2021-05-27,50982
682,92,243,10,2023-01-25,77336
683,503,381,4,2023-04-03,71302
684,1,311,27,2022-08-19,120901
685,798,133,28,2023-01-30,96617
686,185,734,15,2023-08-26,121369
687,68,339,13,2022-05-21,108986
688,318,830,3,2021-03-28,103652
689,470,783,6,2024-11-09,64078
690,509,224,11,2024-03-22,92661
691,849,904,15,2021-02-11,52264
692,859,431,19,2021-02-22,50294
693,718,724,25,2022-01-14,82124
694,602,626,11,2022-11-11,131091
695,985,44,15,2023-08-06,51197
696,573,788,26,2021-07-04,143541
697,238,576,6,2022-06-30,103618
698,819,713,25,2021-12-31,77259
699,48,554,11,2024-04-09,68700
700,160,243,25,2023-03-23,147915
701,593,254,22,2022-09-15,51038
702,75,644,25,2025-04-21,48850
703,556,162,5,2023-12-31,70050
704,6,664,9,2022-01-02,109874
705,835,500,16,2023-01-13,56253
706,145,924,18,2023-12-03,130987
707,651,265,14,2023-08-29,143234
708,162,323,12,2025-03-03,100741
709,968,709,7,2021-08-30,148993
710,391,868,21,2024-11-18,115815
711,553,958,30,2022-01-01,45165
712,184,1,26,2023-02-01,136910
713,921,707,25,2024-09-07,113588
714,350,594,27,2023-03-13,101058
715,58,554,28,2020-12-25,74799
716,227,197,27,2025-06-28,129441
717,909,729,22,2023-07-25,42793
718,892,795,3,2022-05-31,96604
719,510,288,1,2022-01-14,42248
720,954,299,11,2020-11-22,95471
721,945,364,16,2023-12-21,114964
722,109,401,7,2021-10-19,135883
723,188,620,1,2022-02-23,137377
724,113,493,3,2020-12-08,54030
725,677,332,13,2022-10-17,46020
726,35,32,1,2025-03-29,84313
727,133,258,22,2024-12-09,67323
728,214,810,27,2021-07-26,69659
729,427,127,23,2025-06-26,51652
730,818,789,11,2024-10-16,115330
731,273,306,30,2024-08-03,124787
732,650,877,25,2020-11-27,41492
733,598,443,20,2020-11-10,80317
734,42,543,16,2025-05-11,68486
735,726,399,1,2024-07-19,123356
736,138,402,17,2024-09-23,100093
737,836,95,29,2022-10-26,61910
738,544,666,29,2023-02-17,135513
739,292,933,7,2023-05-29,143551
740,41,195,22,2021-07-17,123785
741,387,518,14,2020-12-30,106233
742,40,389,22,2023-09-06,100357
743,251,886,24,2022-05-13,109853
744,81,917,11,2021-02-16,132119
745,265,565,6,2024-10-16,59285
746,888,461,4,2020-10-08,57354
747,11,266,10,2023-06-17,56388
748,395,521,25,2020-08-19,138274
749,359,171,30,2022-11-03,144459
750,662,425,12,2023-03-12,94740
751,613,754,6,2023-08-03,139128
752,905,181,30,2022-03-13,86465
753,115,515,18,2023-05-23,73870
754,614,708,6,2024-07-03,117812
755,426,10,24,2025-05-11,137949
756,415,838,22,2021-07-29,46799
757,77,125,19,2024-06-17,74926
758,271,49,24,2024-11-15,141896
759,401,121,4,2021-06-07,47550
760,234,559,4,2023-06-16,90797
761,130,46,3,2021-11-22,98208
762,4,45,5,2022-04-06,97047
763,123,621,6,2025-01-19,135153
764,914,986,11,2023-05-07,127940
765,789,837,23,2022-09-03,101900
766,709,828,23,2022-06-11,65812
767,237,68,11,2024-05-14,85551
768,969,139,22,2024-01-06,111477
769,106,91,2,2022-12-31,123265
770,71,393,16,2024-12-11,143488
771,139,63,1,2022-04-06,72349
772,375,59,6,2023-04-24,91703
773,447,789,10,2023-06-17,140065
